items,date,order_id,order_accepted,order_refused_reason,calories,price
"['cheese burger', 'salad', 'sweet potatoes']",2022-01-01,4,True,,995,14
"['sweet potatoes', 'vegan combo', 'vegan combo']",2022-01-01,5,True,,1140,23
"['veggie burger', 'veggie combo', 'cheesy combo']",2022-01-01,6,False,Total calories exceeds 2000,2170,27
"['cheesy combo', 'vegan combo']",2022-01-01,7,True,,1525,21
"['cheese burger', 'veggie combo']",2022-01-01,8,True,,1450,17
"['veggie burger', 'iced tea', 'lemonade']",2022-01-01,9,True,,560,10
"['sweet potatoes', 'veggie combo']",2022-01-01,10,True,,930,13
"['vegan burger', 'vegan combo', 'vegan combo']",2022-01-01,11,True,,1260,26
"['vegan burger', 'cheesy combo']",2022-01-01,12,True,,1420,17
"['hamburger', 'iced tea', 'lemonade', 'veggie combo']",2022-01-01,13,True,,1460,19
"['vegan combo', 'veggie combo']",2022-01-01,14,True,,1155,20
"['sweet potatoes', 'lemonade', 'sweet potatoes', 'cheesy combo']",2022-01-01,15,True,,1620,19
"['cheesy combo', 'veggie combo']",2022-01-01,16,True,,1770,21
"['veggie combo', 'veggie combo']",2022-01-01,17,True,,1400,20
"['cheesy combo', 'vegan combo']",2022-01-01,18,True,,1525,21
"['cheese burger', 'sweet potatoes', 'hamburger']",2022-01-01,19,True,,1580,15
"['veggie burger', 'sweet potatoes', 'hamburger']",2022-01-01,20,True,,1230,14
"['cheesy combo', 'vegan combo']",2022-01-01,21,True,,1525,21
"['cheese burger', 'veggie burger', 'cheesy combo']",2022-01-01,22,False,Total calories exceeds 2000,2220,24
"['veggie burger', 'vegan burger', 'lemonade']",2022-01-01,23,True,,840,14
"['cheese burger', 'salad', 'cheese burger']",2022-01-01,24,True,,1515,18
"['veggie burger', 'veggie combo']",2022-01-01,25,True,,1100,16
"['sweet potatoes', 'vegan combo', 'vegan combo']",2022-01-01,26,True,,1140,23
"['hamburger', 'sweet potatoes', 'hamburger']",2022-01-01,27,True,,1430,13
"['salad', 'veggie burger', 'sweet potatoes']",2022-01-01,28,True,,645,13
"['hamburger', 'vegan burger', 'vegan combo']",2022-01-01,29,True,,1405,21
"['sweet potatoes', 'veggie combo', 'veggie combo']",2022-01-01,30,True,,1630,23
"['sweet potatoes', 'veggie combo']",2022-01-01,31,True,,930,13
"['lemonade', 'iced tea', 'iced tea']",2022-01-01,32,True,,230,6
"['vegan combo', 'veggie combo']",2022-01-01,33,True,,1155,20
"['veggie burger', 'salad', 'veggie burger', 'cheesy combo']",2022-01-01,34,True,,1885,27
"['sweet potatoes', 'cheesy combo']",2022-01-01,35,True,,1300,14
"['sweet potatoes', 'sweet potatoes', 'vegan combo']",2022-01-01,36,True,,915,16
"['vegan burger', 'cheese burger']",2022-01-01,37,True,,1100,13
"['veggie burger', 'sweet potatoes']",2022-01-01,38,True,,630,9
"['iced tea', 'vegan combo']",2022-01-01,39,True,,525,12
['lemonade'],2022-01-01,40,True,,90,2
"['veggie burger', 'cheese burger', 'iced tea']",2022-01-01,41,True,,1220,15
"['hamburger', 'iced tea']",2022-01-01,42,True,,670,7
"['cheesy combo', 'vegan combo']",2022-01-01,43,True,,1525,21
"['lemonade', 'vegan combo', 'vegan combo']",2022-01-01,44,True,,1000,22
"['vegan combo', 'cheesy combo']",2022-01-01,45,True,,1525,21
"['cheese burger', 'lemonade', 'veggie burger', 'cheesy combo']",2022-01-01,46,False,Total calories exceeds 2000,2310,26
"['cheesy combo', 'veggie combo']",2022-01-01,47,True,,1770,21
['hamburger'],2022-01-01,48,True,,600,5
"['vegan burger', 'vegan combo']",2022-01-01,49,True,,805,16
"['cheesy combo', 'cheesy combo']",2022-01-01,50,False,Total calories exceeds 2000,2140,22
"['cheese burger', 'salad', 'lemonade']",2022-01-01,51,True,,855,13
"['sweet potatoes', 'cheesy combo']",2022-01-01,52,True,,1300,14
"['hamburger', 'hamburger', 'lemonade', 'vegan combo']",2022-01-01,53,True,,1745,22
"['cheesy combo', 'cheesy combo']",2022-01-01,54,False,Total calories exceeds 2000,2140,22
"['hamburger', 'vegan combo', 'vegan combo']",2022-01-01,55,True,,1510,25
"['hamburger', 'salad', 'veggie combo']",2022-01-01,56,True,,1315,19
"['cheese burger', 'sweet potatoes', 'sweet potatoes', 'veggie combo']",2022-01-01,57,True,,1910,23
"['vegan combo', 'veggie combo']",2022-01-01,58,True,,1155,20
"['vegan burger', 'vegan combo']",2022-01-01,59,True,,805,16
"['veggie burger', 'cheese burger']",2022-01-01,60,True,,1150,13
"['sweet potatoes', 'sweet potatoes']",2022-01-01,61,True,,460,6
"['veggie burger', 'veggie combo', 'cheesy combo']",2022-01-01,62,False,Total calories exceeds 2000,2170,27
"['veggie combo', 'cheesy combo']",2022-01-01,63,True,,1770,21
"['vegan combo', 'vegan combo']",2022-01-01,64,True,,910,20
"['lemonade', 'hamburger', 'iced tea']",2022-01-01,65,True,,760,9
"['cheesy combo', 'veggie combo']",2022-01-01,66,True,,1770,21
"['cheese burger', 'sweet potatoes', 'vegan burger', 'vegan combo']",2022-01-01,67,True,,1785,26
"['veggie combo', 'veggie combo']",2022-01-01,68,True,,1400,20
"['sweet potatoes', 'vegan burger', 'cheese burger']",2022-01-01,69,True,,1330,16
"['iced tea', 'cheesy combo']",2022-01-01,70,True,,1140,13
"['iced tea', 'sweet potatoes', 'vegan combo']",2022-01-01,71,True,,755,15
"['veggie burger', 'iced tea']",2022-01-01,72,True,,470,8
['salad'],2022-01-01,73,True,,15,4
"['cheese burger', 'lemonade', 'iced tea', 'vegan combo']",2022-01-01,74,True,,1365,21
"['iced tea', 'iced tea', 'veggie burger', 'cheesy combo']",2022-01-01,75,True,,1610,21
"['hamburger', 'vegan combo', 'vegan combo']",2022-01-01,76,True,,1510,25
"['salad', 'sweet potatoes', 'hamburger']",2022-01-01,77,True,,845,12
"['sweet potatoes', 'cheesy combo', 'veggie combo']",2022-01-01,78,True,,2000,24
"['lemonade', 'vegan burger']",2022-01-01,79,True,,440,8
"['lemonade', 'veggie burger']",2022-01-01,80,True,,490,8
['cheese burger'],2022-01-01,81,True,,750,7
"['veggie burger', 'veggie combo', 'veggie combo']",2022-01-01,82,True,,1800,26
"['vegan burger', 'cheese burger', 'lemonade']",2022-01-01,83,True,,1190,15
['lemonade'],2022-01-01,84,True,,90,2
"['vegan combo', 'vegan combo']",2022-01-01,85,True,,910,20
"['hamburger', 'veggie burger', 'vegan combo']",2022-01-01,86,True,,1455,21
"['veggie burger', 'veggie burger']",2022-01-01,87,True,,800,12
"['cheesy combo', 'vegan combo']",2022-01-01,88,True,,1525,21
['lemonade'],2022-01-01,89,True,,90,2
"['cheese burger', 'sweet potatoes', 'cheese burger']",2022-01-01,90,True,,1730,17
"['hamburger', 'lemonade']",2022-01-01,91,True,,690,7
"['veggie combo', 'veggie combo']",2022-01-01,92,True,,1400,20
"['hamburger', 'sweet potatoes', 'iced tea', 'veggie combo']",2022-01-01,93,True,,1600,20
"['vegan burger', 'vegan combo']",2022-01-01,94,True,,805,16
"['cheese burger', 'cheese burger']",2022-01-01,95,True,,1500,14
"['lemonade', 'cheesy combo']",2022-01-01,96,True,,1160,13
"['veggie burger', 'lemonade']",2022-01-01,97,True,,490,8
"['lemonade', 'cheesy combo']",2022-01-01,98,True,,1160,13
"['lemonade', 'cheese burger', 'vegan combo']",2022-01-02,99,True,,1295,19
"['hamburger', 'cheesy combo', 'veggie combo']",2022-01-02,100,False,Total calories exceeds 2000,2370,26
"['veggie combo', 'vegan combo']",2022-01-02,101,True,,1155,20
"['lemonade', 'cheese burger', 'salad', 'veggie combo']",2022-01-02,102,True,,1555,23
"['iced tea', 'cheesy combo', 'veggie combo']",2022-01-02,103,True,,1840,23
['salad'],2022-01-02,104,True,,15,4
"['iced tea', 'sweet potatoes', 'lemonade']",2022-01-02,105,True,,390,7
['veggie burger'],2022-01-02,106,True,,400,6
"['lemonade', 'cheesy combo']",2022-01-02,107,True,,1160,13
